YEAR,MO,DY,HR,T2M,RH2M,PRECTOTCORR,WS50M,WD50M
2011,2,13,16,26.95,30.94,0,4.95,268.19
2011,2,13,17,23.26,36.38,0,4.35,280.24
2011,2,13,18,22.98,34.44,0,3.47,298.35
2011,2,13,19,22.97,32.06,0,2.76,323.52
2011,2,13,20,22.38,32.25,0,2.51,349.22
2011,2,13,21,21.41,33.5,0,2.55,7.04
2011,2,13,22,20.41,34.75,0,2.48,15.13
2011,2,13,23,19.19,37.56,0,2.24,16.85
2011,2,14,0,18.19,40.69,0,1.9,6.37
2011,2,14,1,17.43,43.12,0,1.78,348.59
2011,2,14,2,16.7,45.38,0,1.9,338.07
2011,2,14,3,15.55,49.25,0,2.33,339.56
2011,2,14,4,14.27,53.88,0,3.07,347.8
2011,2,14,5,13.27,57.88,0,3.91,356.33
2011,2,14,6,13.29,59.62,0,4.6,2.53
2011,2,14,7,16.1,51.75,0,4.09,6.69
2011,2,14,8,18.94,44.19,0,3.15,11
2011,2,14,9,22.55,35,0,2.21,28.11
2011,2,14,10,25.69,27.94,0,0.89,134.64
2011,2,14,11,28.62,22.06,0,3.47,214.83
2011,2,14,12,29.91,20.56,0,4.42,236.76
2011,2,14,13,30.17,20.81,0,4.08,242.5
2011,2,14,14,29.88,21.5,0,3.96,248.14
2011,2,14,15,28.89,23.25,0,4.35,273.29
2011,2,14,16,25.26,37.06,0,4.73,315
2011,2,14,17,21.62,43.81,0,6.5,348.57
2011,2,14,18,20.51,46.62,0,8.01,3.58
2011,2,14,19,19.62,51.5,0,7.99,10.13
2011,2,14,20,18.39,58.44,0,7.2,11.2
2011,2,14,21,17.55,64,0,6.53,9.01
2011,2,14,22,17.02,67.69,0,6.07,7.32
2011,2,14,23,16.73,69.69,0.01,5.42,14.36
2011,2,15,0,16.33,71.75,0.03,4.29,35.14
2011,2,15,1,16.09,73.56,0.18,3.02,58.53
2011,2,15,2,16.44,72.5,0.35,1.64,88.09
2011,2,15,3,16.5,72.69,0.29,0.81,191.75
2011,2,15,4,15.26,81.62,0.26,2.35,252.59
2011,2,15,5,14.55,87,0.31,3.32,272.84
2011,2,15,6,14.51,89.12,0.65,3.3,284.79
2011,2,15,7,16.15,84.19,0.71,2.48,293.58
2011,2,15,8,18.12,76.69,0.01,1.75,302.06
2011,2,15,9,21.58,58.81,0.02,1.6,291.54
2011,2,15,10,25.44,42.19,0.04,2.56,241.32
2011,2,15,11,26.73,37.38,0,2.9,223.91
2011,2,15,12,26.94,36.19,0.02,2.97,210.34
2011,2,15,13,26.68,36.75,0.1,2.8,197.53
2011,2,15,14,26.51,37.5,0.15,2.47,182.72
2011,2,15,15,25.9,40.25,0.08,2.11,165.6
2011,2,15,16,24.23,54,0.1,1.82,128.39
2011,2,15,17,22.15,57.94,0.02,2.42,92.59
2011,2,15,18,20.98,61.12,0,3.29,77.52
2011,2,15,19,20.05,63.81,0,4.03,71.6
2011,2,15,20,19.27,65.94,0,4.7,73.1
2011,2,15,21,18.48,69.56,0,5.24,84.53
2011,2,15,22,17.94,73.31,0.01,6.28,110.4
2011,2,15,23,17.35,78.62,0.03,7.85,124.01
2011,2,16,0,16.24,87.5,0.06,6.7,130.13
2011,2,16,1,15.05,96.06,0.12,4.46,138.91
2011,2,16,2,14.55,99,0.4,2.15,165.46
2011,2,16,3,14.16,100,0.98,2.17,234.08
2011,2,16,4,14.34,98.94,1.53,2.97,242.9
2011,2,16,5,13.96,99.38,1.43,3,228.59
2011,2,16,6,14.26,98.44,0.97,3.19,213.73
2011,2,16,7,16.01,93.31,0.4,3.23,203.96
2011,2,16,8,18.18,84.06,0.05,3.27,215.86
2011,2,16,9,20.93,67.94,0.04,3.92,239.86
2011,2,16,10,22.94,55.19,0.09,4.64,255.29
2011,2,16,11,23.84,48.12,0.18,4.86,264.1
2011,2,16,12,24.33,43.25,0.18,4.69,271.34
2011,2,16,13,24.39,40.75,0.15,4.53,277.63
2011,2,16,14,23.9,40.5,0.07,4.47,285.2
2011,2,16,15,23.17,41.38,0.01,4.28,294.04
2011,2,16,16,21.62,48.5,0,4.05,310.46
2011,2,16,17,18.41,62.5,0,4.72,335.77
2011,2,16,18,17.12,64.88,0,5.67,353.99
